ENGF|ENGLISH FORD (BRITISH)
ENVY|ENVOY
ENZM|ENZMANN
ERSK|ERSKINE
ESHL|ESHELMAN SPORTABOUT
ESSE|ESSEX
EUCL|EUCLID
EVRY|EVERYBODY'S MOTOR CAR
EXCL|EXCALIBUR
EXHE|EXCELSIOR-HENDERSON (MC)
FACE|FACEL-VEGA
FACL|FACELLIA
FAIR|FAIRTHORPE
FALC|FALCON (BRITISH)
FARG|FARGO
FEDL|FEDERAL
FELB|FELBER
FEMC|FELDMAN ENGINEERING & MFG
FERR|FERRARI
FIAA|FIAT-ABARTH
FIAT|FIAT
FIBE|FIBERFAB, INC.
FIST|FIESTA
FLEX|FIXIBLE
FMC|FMC
FNM|FNM
FONA|FONTAINE TRAILER COMPANY
FONS|FONTAINE SPECIALIZED TRLR
FORD|FORD
FRAI|FRANKLIN COACH
FRAN|FRANKLIN
FRAZ|FRAZIER
FRED|FREDERICK-WILLYS
FREF|FRENCH FORD
FRHT|FREIGHTLINER
FRIS|FRISKY
FRNA|FRAZER-NASH
FRRV|FOREST RIVER, INC. (TL)
FRTV|FORETRAVEL
FRUE|FRUEHAUF
FTWD|FLEETWOOD
FWD|FWD
GALI|GALION
GAZ|GAZ
GBCO|GILSON BROTHERS
GDAN|GREAT DANE TRAILERS
GEO|GEO
GEOR|GEORGIE BOY
GIAN|GIANNINI
GIGI|GIGI INDUSTRIES
GILB|GILBERN
GIND|GINDY MFG
GINE|GINETTA
GITA|GITANE
GLAS|GLAS
GLBL|GLOBAL ELECTRIC MOTORCARS
GLSC|GLASSIC
GM|GENERAL MOTORS
GMC|GENERAL MOTORS CORP
GOKT|GO KART
GOLI|GOLIATH
GORD|GORDON
GRAC|GRACIELA
GRAD|GRADALL
GRAH|GRAHAM
GRAP|GRAHAM-PAIGE
GRES|GREAT ESCAPE
GRIF|GRIFFITH
GRUM|GRUMMAN
GSM|GSM
GWM|GULF & WESTERN
GZL|GAZELL
HACK|HACKNEY & SONS
HAHN|HAHN
HAUI|HAULMARK INDUSTRIES, INC.
HD|AMF
HDMC|HARLEY-DAVIDSON
HEIL|HEIL TRAILER INTL. INC.
HEIN|HEINKEL
HEND|HENDRICKSON MANUFACTURING
HENR|HENRY J
HICK|HICKEY TRAIL-BLAZER
HILL|HILLMAN
HIND|HINDUSTAN
HINO|HINO
HOBB|HOBBS TRAILERS
HOLD|HOLDEN
HOND|HONDA
HONG|HONGKI OR HONG-CHI
HORC|HORCH LIMOUSINE
HORT|HORNET FLATBED TRAILER
HOTC|HOTCHKISS
HOUG|HOUGH BROTHERS
HRG|HRG
HRTI|HERTER'S
HUDS|HUDSON
HUMB|HUMBER
HUME|HUMBEE SURREY
HUMM|HUMMER
HUPM|HUPMOBILE
HURU|HUSTLER-RUSTLER
HUSA|HUSABERG MOTOR AB
HUSQ|HUSQVARNA
HYND|HYUNDAI MARCIA
HYST|HYSTER
HYTR|HYUNDAI TRANSLEAD TRAILER
HYUN|HYUNDAI
IAME|I. A. M. E.
ICRP|IC CORPORATION
IKA|I. K. A.
IMPB|I. M. P. (U.S.)
IMPE|IMPERIAL
IND|INDIAN
INDI|INDIANA
INFI|INFINITI
INME|INTERMECCANICA
INNO|INNOCENTI
INTL|INTERNATIONAL
ISET|ISETTA
ISLA|ISLANDER MOTOR HOME
ISO|ISO
ISU|ISUZU
ITAF|ITALIAN FORD
ITAI|ITALIA
ITAS|ITASCA MOTOR HOMES
IVEC|IVECO TRUCKS OF N AMERICA
JACC|JAC-TRAC
JACO|JACOBSEN MANUFACTURING
JAGU|JAGUAR
JAWA|JAWA
JAY|JAYCO
JEEP|JEEP
JENS|JENSEN
JETM|JETMOBILE
JOWE|JOWETT
KAIS|KAISER
KAKI|KAMP KING UTOPIAN
KALY|KALYN COMPANY
KAWK|KAWASAKI (JAPAN)
KENS|KENSINGTON MOTOR
KENT|KENTUCKY MFG
KIA|KIA MOTORS CORP
KIMI|KING MIDGET
KMCU|KAWASAKI/SNO*JET-SNOWMOBI
KOME|KOMETIK
KTM|KTM
KURT|KURTIS KRAFT
KW|KENWORTH
KWDT|KW DART
LADA|LADA
LAFY|LAFAYETTE MOTOR HOME
LAGO|LAGONDA
LALL|LASALLE
